Local Government Area,Median_household_income,Employment_rate,Industrial_activity,Gen_expenditure,Energy_spend_ratio,Population_density,Household_count,Building_type_ID,Building_type_GD,Grid_supply_reliability,Road_accessibility,Safety,Solar_panel_usage,Solar_panel_adoption,Emmission_Reduction
Agege,75000,97.47474747,18.62527716,28644,26.7,91520,65000,2,3,2,3,4,0,70.06802721,24530000
Ajeromi-Ifelodun,175000,93.30985915,12.66666667,28980,19.4,155511,94000,2,3,2,3,3,0,53.54523227,49904000
Alimosho,175000,83.10214376,23.42786683,26640,29.4,22372,520000,5,5,2,2,3,1.972872996,92.03125,669307000
Amuwo Odofin,175000,93.1372549,24.31192661,29280,15.7,4414,165000,4,5,2,3,4,1.834862385,61.9047619,339664000
Apapa,75000,98.55072464,28.0952381,52785,26.2,20435,39000,4,5,3,3,3,2.380952381,92.10526316,165208000
Badagry,25000,89.62962963,7.857142857,25513.5,34,1293,68000,5,5,4,2.5,3,0,56.25,583739000
Epe,25000,83.09859155,15.06849315,32166,64.6,505,57000,5,5,4,2,2,0,70.07874016,237424000
Eti Osa,375000,95.16129032,36.70212766,51972,22.55,4952,88000,4,5,2,3,4,4.255319149,87.44186047,280056000
Ibeju Lekki,75000,100,5.714285714,91750,8,230,33000,4,5,4,2,2,0,74.28571429,208779000
Ifako-Ijaye,75000,91.92982456,17.46575342,28604.4,26.7,26069,144000,4,5,2,3,4,0.342465753,55.92417062,68416000
Ikeja,175000,96.83794466,23.07692308,31980,29.1,19571,182000,4,5,2,4,4,2.307692308,63.69047619,122741000
Ikorodu,175000,96.51567944,24.30555556,54495.5,16.8,3008,162000,4,5,2,3,3,2.777777778,92.39766082,269310000
Kosofe,175000,95.25,34.16458853,37650,23.4,16677,168000,4,5,2,3,3,2.992518703,85.8974359,171034000
Lagos Mainland,175000,95.41666667,22.13740458,30435,19.5,48318,59000,3,4,2,3,4,1.526717557,53.43137255,23874000
Lagos-Island,175000,97.13467049,27.52808989,57500,15.2,139845,13000,3,4,3,3,3,0.561797753,85.58951965,13951000
Mushin,75000,93.07692308,17.9297597,30290,28,141655,133000,3,4,2,3,4,0.554528651,54.25531915,76261000
Ojo,25000,90,13.98963731,32496,31.65,7791,182000,5,5,4,3,3,0.259067358,81.37254902,530212000
Oshodi-Isolo,175000,96.2962963,29.87012987,54330,24.7,40702,297000,4,5,2,3,3,1.298701299,94.07894737,245057000
SOMOLU,175000,96.73366834,36.71497585,30980,18.7,105745,49000,4,5,2,4,3,2.415458937,64.79750779,26668000
Surulere,175000,94.90566038,29.79515829,50064,20,70952,131000,3,4,2,3,3,1.489757914,88.5026738,64128000
