Location,pH Value,Water Temp,Electrical Conductivity,Total Dissolve Solids,Salinity,Turbidity,Water Size,Land Availability Near Water Body for Supporting Infrastructure,Proximity of Land Availability to Water,Wind Speed,Water Current,Max Solar Value,Atmospheric Temperature,Anchor Point availability,Distance of anchor point to Water,Access road availability,Distance to access road,Type of access road,Accessible for heavy equipment,Available Grid Capacity (MVA),Energy Demand (MW),"Predominant Consumption Type (R,C,I) or Mixed",Proximity to nearest substation,Availability of Grid Connection,How safe is the environment,Incidence of Vandalism/Theft,"Is water body close to Schools? Healtcare Centers? Other strategic locations that increase viability, attract fi0ncing and promote renewable deployments"
Okeira Kekere,100.0,100.0,100.0,100.0,100,18.939393939393938,100.0,1.0,0.62,40.0,100,1.4644862094215279,100.0,0.0,0.0,1,107.96,0,1,150,63.72,0,1541.83844,1,5.0,1,0
Akoka,100.0,100.0,100.0,100.0,100,15.408320493066254,100.0,0.6625965480232947,0.42,15.0,100,0.7692307692307693,98.0392156862745,0.5,0.0,1,85.22,1,1,30,50.3,1,576.998629,1,5.0,1,1
AGO,100.0,100.0,100.0,100.0,100,99.80039920159682,100.0,0.46258951035417073,0.92,30.0,100,1.4623446258834998,100.0,0.0,0.0,1,28.2,0,1,60,18.84,0,651.016034,1,2.0,1,0
Festac,100.0,100.0,40.48582995951417,75.0,75,74.07407407407408,50.0,0.42302197512183964,0.4,100.0,100,0.7236762754794356,100.0,1.0,60.0,1,25.0,1,1,60,20.64286,1,487.492133,1,5.0,1,1
S0ke Island,0.0,0.0,100.0,100.0,100,100.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0.0,1,0.0,1,0
Ilase,100.0,100.0,18.925056775170326,9.051412020275162,75,5.88235294117647,50.0,0.3782747154142548,0.88,100.0,100,1.4492753623188406,100.0,1.0,23.2,0,0.0,0,0,30,20.64286,0,21.5078,1,5.0,1,0
Tin Can,100.0,100.0,49.26108374384236,75.0,75,56.81818181818181,50.0,0.5254499709696148,0.66,35.0,100,1.3018008244738555,100.0,1.0,10.0,1,2.0,1,1,45,17.32,1,457.439524,1,5.0,1,1
Flour Mill,100.0,100.0,46.2962962962963,75.0,75,43.66812227074236,50.0,0.4048243221844925,0.94,45.0,100,1.2295081967213115,100.0,1.0,96.5,1,0.0,1,1,45,17.32,1,652.406142,1,3.5,1,1
Ijora,100.0,100.0,44.24778761061947,75.0,75,43.290043290043286,100.0,0.9955134859334589,1.0,60.0,100,1.2371134020618557,100.0,0.0,0.0,1,28.5,0,1,45,40.02,1,459.761534,1,3.5,1,1
Oworo,100.0,100.0,100.0,100.0,100,14.947683109118085,100.0,0.6969667646075619,0.7040000000000001,35.0,100,0.654378885374632,100.0,0.0,0.0,1,143.53,0,1,60,38.334,1,929.452067,1,2.0,1,0
Agbowa,0.0,0.0,100.0,100.0,100,100.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0,0.0,0,0,0,,0,0.0,0,0.0,1,0
Ijede,100.0,100.0,100.0,100.0,100,0.7923930269413629,50.0,0.8518746591129018,0.42,100.0,100,1.4760147601476015,100.0,0.0,0.0,1,83.52,0,1,60,30.54,0,976.488737,1,2.0,1,1
Owutu,0.0,0.0,100.0,100.0,100,100.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0,0.0,0,0,0,,0,0.0,0,0.0,1,0
Badagry,100.0,100.0,100.0,100.0,75,100.0,100.0,0.6368809050442493,0.8248000000000001,40.0,100,0.8653014133256418,100.0,1.0,60.0,1,93.53,1,1,45,33.2,1,1954.701102,1,3.5,1,1
