Local Government Area,Median_household_income,Employment_rate,Industrial_activity,Gen_expenditure,Energy_spend_ratio,Population_density,Household_count,Building_type_ID,Building_type_GD,Grid_supply_reliability,Road_accessibility,Safety,Solar_panel_usage,Solar_panel_adoption,Emmission_Reduction
Agege,75000.0,97.47474747474747,18.625277161862527,28644.0,26.7,"91,520",65000,2.0,3.0,3.0,3.0,4.0,0.0,70.06802721088435,"24,530,000"
Ajeromi-Ifelodun,175000.0,93.30985915492957,12.666666666666668,28980.0,19.4,"155,511",94000,2.0,3.0,3.0,3.0,3.0,0.0,53.54523227383863,"49,904,000"
Alimosho,175000.0,83.10214375788146,23.42786683107275,26640.0,29.4,"22,372",520000,5.0,5.0,3.0,2.0,3.0,1.972872996300863,92.03125,"669,307,000"
Amuwo Odofin,175000.0,93.13725490196079,24.31192660550459,29280.0,15.7,"4,414",165000,4.0,5.0,3.0,3.0,4.0,1.834862385321101,61.904761904761905,"339,664,000"
Apapa,75000.0,98.55072463768117,28.095238095238095,52785.0,26.2,"20,435",39000,4.0,5.0,2.0,3.0,3.0,2.380952380952381,92.10526315789474,"165,208,000"
Badagry,25000.0,89.62962962962962,7.857142857142857,25513.5,34.0,"1,293",68000,5.0,5.0,1.0,2.5,3.0,0.0,56.25,"583,739,000"
Epe,25000.0,83.09859154929578,15.068493150684931,32166.0,64.6,505,57000,5.0,5.0,1.0,2.0,2.0,0.0,70.07874015748031,"237,424,000"
Eti Osa,375000.0,95.16129032258065,36.702127659574465,51972.0,22.55,"4,952",88000,4.0,5.0,3.0,3.0,4.0,4.25531914893617,87.44186046511628,"280,056,000"
Ibeju Lekki,75000.0,100.0,5.714285714285714,91750.0,8.0,230,33000,4.0,5.0,1.0,2.0,2.0,0.0,74.28571428571429,"208,779,000"
Ifako-Ijaye,75000.0,91.9298245614035,17.465753424657535,28604.4,26.7,"26,069",144000,4.0,5.0,3.0,3.0,4.0,0.3424657534246575,55.92417061611374,"68,416,000"
Ikeja,175000.0,96.83794466403161,23.076923076923077,31980.0,29.1,"19,571",182000,4.0,5.0,3.0,4.0,4.0,2.307692307692308,63.69047619047619,"122,741,000"
Ikorodu,175000.0,96.51567944250871,24.305555555555554,54495.5,16.799999999999997,"3,008",162000,4.0,5.0,3.0,3.0,3.0,2.7777777777777777,92.39766081871345,"269,310,000"
Kosofe,175000.0,95.25,34.1645885286783,37650.0,23.4,"16,677",168000,4.0,5.0,3.0,3.0,3.0,2.9925187032418954,85.8974358974359,"171,034,000"
Lagos Mainland,175000.0,95.41666666666667,22.137404580152673,30435.0,19.5,"48,318",59000,3.0,4.0,3.0,3.0,4.0,1.5267175572519083,53.431372549019606,"23,874,000"
Lagos-Island,175000.0,97.134670487106,27.52808988764045,57500.0,15.2,"139,845",13000,3.0,4.0,2.0,3.0,3.0,0.5617977528089888,85.58951965065502,"13,951,000"
Mushin,75000.0,93.07692307692308,17.929759704251385,30290.0,28.0,"141,655",133000,3.0,4.0,3.0,3.0,4.0,0.5545286506469501,54.25531914893617,"76,261,000"
Ojo,25000.0,90.0,13.989637305699482,32496.0,31.65,"7,791",182000,5.0,5.0,1.0,3.0,3.0,0.2590673575129534,81.37254901960785,"530,212,000"
Oshodi-Isolo,175000.0,96.29629629629629,29.87012987012987,54330.0,24.700000000000003,"40,702",297000,4.0,5.0,3.0,3.0,3.0,1.2987012987012987,94.07894736842105,"245,057,000"
SOMOLU,175000.0,96.73366834170855,36.71497584541063,30980.0,18.7,"105,745",49000,4.0,5.0,3.0,4.0,3.0,2.4154589371980677,64.797507788162,"26,668,000"
Surulere,175000.0,94.90566037735849,29.7951582867784,50064.0,20.0,"70,952",131000,3.0,4.0,3.0,3.0,3.0,1.48975791433892,88.50267379679144,"64,128,000"
